,Unnamed: 0,userId,night_inputDt,pmEmotion,pmStress,ifUnusual,breakfast,lunch,dinner,lateSnack,amCaffeine,amCaffAmount,pmCaffeine,pmCaffAmount,alcohol,aAmount,date,sleep,inputDt,sleepProblem,dream,amCondition,amEmotion,total_CaffAmount,date_m,startDt,endDt,device,sleep_score,total_sleep_time,time_in_bed,waso,wakeupcount,aal,movement_index,fragmentation_index,sleep_frag_index
9,0,5,2018-11-09 21:10,4.0,3.0,2.0,3.0,1.0,3.0,4.0,,,coffee,1.0,,,2018-11-09,4.0,2018-11-10 7:28,3.0,4.0,4.0,3.0,,2018-11-10,2018-11-10 0:55,2018-11-10 6:55,Fitbit,86.9220608,19740,22710,,,,,,
10,0,5,2018-11-10 20:43,4.0,4.0,2.0,3.0,1.0,4.0,3.0,,,coffee,1.0,beer,1.0,2018-11-10,3.0,2018-11-11 8:23,3.0,1.0,3.0,3.0,,2018-11-11,2018-11-10 23:39,2018-11-11 15:13,Fitbit,90.3198653,32190,35640,,,,,,
11,0,5,2018-11-11 20:40,4.0,3.0,2.0,3.0,3.0,4.0,2.0,,,coffee,1.0,,,2018-11-11,2.0,2018-11-12 7:27,3.0,4.0,2.0,2.0,,2018-11-12,2018-11-12 1:55,2018-11-12 6:15,Fitbit,85.4779412,13950,16320,,,,,,
12,0,5,2018-11-12 22:11,2.0,1.0,2.0,3.0,1.0,4.0,4.0,coffee,1.0,coffee,1.0,,,2018-11-12,4.0,2018-11-13 7:41,3.0,4.0,2.0,3.0,2.0,2018-11-13,2018-11-12 23:23,2018-11-13 7:05,Fitbit,78.5935884,22800,29010,,,,,,
0,0,6,2018-10-31 18:51,3.0,3.0,2.0,2.0,2.0,2.0,2.0,,,,,,,2018-10-31,4.0,2018-11-01 8:19,2.0,2.0,2.0,3.0,,2018-11-01,2018-11-01 0:05,2018-11-01 6:30,Fitbit,85.7487923,21300,24840,,,,,,
1,0,6,2018-11-04 7:20,3.0,3.0,2.0,2.0,2.0,2.0,4.0,,,,,,,2018-11-04,3.0,2018-11-05 6:59,0.0,2.0,3.0,3.0,,2018-11-05,2018-11-04 23:34,2018-11-05 6:22,Fitbit,85.3632479,23970,28080,,,,,,
2,0,6,2018-11-05 22:02,3.0,4.0,2.0,2.0,2.0,4.0,4.0,,,,,,,2018-11-05,3.0,2018-11-06 8:57,9.0,2.0,3.0,3.0,,2018-11-06,2018-11-05 23:38,2018-11-06 7:47,Fitbit,83.6120401,22500,26910,,,,,,
3,0,6,2018-11-06 22:40,3.0,3.0,2.0,2.0,2.0,2.0,,,,,,,,2018-11-06,4.0,2018-11-07 8:05,9.0,2.0,3.0,3.0,,2018-11-07,2018-11-06 23:36,2018-11-07 7:01,Fitbit,86.0302678,22170,25770,,,,,,
4,0,6,2018-11-09 23:23,3.0,3.0,2.0,2.0,2.0,2.0,,,,,,,,2018-11-09,3.0,2018-11-10 9:34,9.0,2.0,3.0,3.0,,2018-11-10,2018-11-10 0:26,2018-11-10 7:13,Fitbit,84.8223897,23640,27870,,,,,,
5,0,6,2018-11-12 23:02,3.0,3.0,2.0,2.0,2.0,2.0,,,,,,,,2018-11-12,3.0,2018-11-13 9:02,9.0,2.0,3.0,3.0,,2018-11-13,2018-11-13 2:38,2018-11-13 13:35,Fitbit,85.675307,18840,21990,,,,,,
0,0,7,2018-10-31 19:26,4.0,3.0,2.0,4.0,2.0,2.0,4.0,coffee,1.0,coffee,1.0,,,2018-10-31,3.0,2018-11-01 7:24,1.0,2.0,4.0,4.0,2.0,2018-11-01,2018-11-01 0:00,2018-11-01 6:47,Fitbit,87.2505543,23610,27060,,,,,,
1,0,7,2018-11-01 19:23,3.0,2.0,2.0,4.0,3.0,3.0,4.0,coffee,1.0,coffee,1.0,,,2018-11-01,4.0,2018-11-02 7:32,2.0,2.0,3.0,4.0,2.0,2018-11-02,2018-11-02 0:14,2018-11-02 7:06,Fitbit,90.7092907,27240,30030,,,,,,
2,0,7,2018-11-02 19:46,3.0,1.0,2.0,4.0,3.0,3.0,4.0,coffee,1.0,coffee,2.0,,,2018-11-02,4.0,2018-11-03 7:53,0.0,2.0,4.0,3.0,3.0,2018-11-03,2018-11-02 23:42,2018-11-03 7:29,Fitbit,86.3304982,42630,49380,,,,,,
3,0,7,2018-11-03 20:42,4.0,4.0,2.0,3.0,3.0,3.0,4.0,,,coffee,1.0,beer,1.0,2018-11-03,3.0,2018-11-04 7:36,2.0,2.0,3.0,2.0,,2018-11-04,2018-11-03 23:06,2018-11-04 9:00,Fitbit,80.7965861,17040,21090,,,,,,
4,0,7,2018-11-04 19:31,4.0,4.0,2.0,4.0,3.0,3.0,4.0,coffee,1.0,coffee,1.0,,,2018-11-04,2.0,2018-11-05 7:43,1.0,2.0,2.0,3.0,2.0,2018-11-05,2018-11-05 0:29,2018-11-05 7:05,Fitbit,88.0829016,20400,23160,,,,,,
5,0,7,2018-11-05 19:58,2.0,2.0,2.0,4.0,2.0,3.0,4.0,,,coffee,1.0,,,2018-11-05,4.0,2018-11-06 7:27,1.0,2.0,3.0,3.0,,2018-11-06,2018-11-06 0:48,2018-11-06 6:47,Fitbit,87.6146789,22920,26160,,,,,,
6,0,7,2018-11-06 20:01,3.0,2.0,2.0,4.0,2.0,3.0,4.0,,,coffee,1.0,,,2018-11-06,4.0,2018-11-07 7:12,0.0,2.0,3.0,3.0,,2018-11-07,2018-11-06 23:59,2018-11-07 6:28,Fitbit,87.7336449,22530,25680,,,,,,
7,0,7,2018-11-07 19:56,3.0,2.0,2.0,4.0,2.0,2.0,4.0,coffee,1.0,coffee,1.0,,,2018-11-07,4.0,2018-11-08 7:28,0.0,2.0,3.0,4.0,2.0,2018-11-08,2018-11-08 0:45,2018-11-08 7:22,Fitbit,83.9237057,18480,22020,,,,,,
8,0,7,2018-11-08 20:44,3.0,2.0,2.0,4.0,3.0,2.0,4.0,coffee,1.0,coffee,2.0,,,2018-11-08,4.0,2018-11-09 7:19,0.0,3.0,3.0,3.0,3.0,2018-11-09,2018-11-09 0:27,2018-11-09 7:00,Fitbit,80.8373591,15060,18630,,,,,,
9,0,7,2018-11-09 19:21,3.0,3.0,2.0,4.0,3.0,4.0,4.0,coffee,1.0,coffee,1.0,,,2018-11-09,3.0,2018-11-10 9:48,0.0,2.0,2.0,3.0,2.0,2018-11-10,2018-11-10 4:45,2018-11-10 9:41,Fitbit,89.8468977,33450,37230,,,,,,
10,0,7,2018-11-10 21:57,3.0,4.0,2.0,4.0,3.0,3.0,4.0,,,,,,,2018-11-10,4.0,2018-11-11 9:10,2.0,2.0,3.0,4.0,,2018-11-11,2018-11-10 23:11,2018-11-11 8:57,Fitbit,88.5032538,24480,27660,,,,,,
11,0,7,2018-11-12 19:33,3.0,3.0,2.0,4.0,3.0,3.0,,,,coffee,1.0,,,2018-11-12,3.0,2018-11-13 7:22,1.0,2.0,3.0,3.0,,2018-11-13,2018-11-13 0:56,2018-11-13 6:57,Fitbit,87.4551971,7320,8370,,,,,,
0,0,8,2018-10-31 19:54,4.0,2.0,2.0,4.0,2.0,3.0,4.0,,,coke,1.0,,,2018-10-31,2.0,2018-11-01 7:41,2.0,4.0,2.0,2.0,,2018-11-01,2018-11-01 0:45,2018-11-01 7:25,Fitbit,89.380531,18180,20340,,,,,,
1,0,8,2018-11-01 20:27,3.0,3.0,2.0,4.0,3.0,3.0,4.0,,,,,,,2018-11-01,1.0,2018-11-02 8:08,1.0,4.0,2.0,3.0,,2018-11-02,2018-11-02 3:19,2018-11-02 7:35,Fitbit,88.08933,10650,12090,,,,,,
2,0,8,2018-11-02 23:41,5.0,3.0,2.0,3.0,2.0,3.0,3.0,coffee,1.0,,,wine,1.0,2018-11-02,2.0,2018-11-03 10:46,2.0,4.0,2.0,4.0,,2018-11-03,2018-11-03 1:04,2018-11-03 8:26,Fitbit,92.9025424,26310,28320,,,,,,
3,0,8,2018-11-04 0:31,4.0,4.0,1.0,3.0,3.0,3.0,3.0,,,coffee,2.0,,,2018-11-04,2.0,2018-11-05 7:42,6.0,4.0,2.0,3.0,,2018-11-05,2018-11-05 0:23,2018-11-05 7:26,Fitbit,89.0470975,24390,27390,,,,,,
4,0,8,2018-11-05 20:48,4.0,2.0,2.0,3.0,3.0,3.0,4.0,coffee,2.0,,,beer,1.0,2018-11-05,3.0,2018-11-06 8:11,6.0,4.0,2.0,3.0,,2018-11-06,2018-11-06 0:47,2018-11-06 7:56,Fitbit,90.3266332,21570,23880,,,,,,
5,0,8,2018-11-06 21:07,3.0,2.0,2.0,2.0,3.0,2.0,4.0,,,coffee,1.0,,,2018-11-06,2.0,2018-11-07 21:39,0.0,4.0,2.0,3.0,,2018-11-07,2018-11-07 0:39,2018-11-07 7:52,Fitbit,87.1007371,21270,24420,,,,,,
6,0,8,2018-11-07 21:39,3.0,3.0,2.0,2.0,3.0,3.0,4.0,coffee,1.0,,,,,2018-11-07,2.0,2018-11-08 8:05,0.0,3.0,2.0,3.0,,2018-11-08,2018-11-07 23:09,2018-11-08 7:27,Fitbit,84.4110855,21930,25980,,,,,,
7,0,8,2018-11-08 20:27,1.0,1.0,1.0,4.0,2.0,2.0,4.0,,,,,,,2018-11-08,1.0,2018-11-09 7:36,2.0,4.0,2.0,3.0,,2018-11-09,2018-11-08 22:18,2018-11-09 6:00,Fitbit,90.2414487,26910,29820,,,,,,
8,0,8,2018-11-09 21:33,4.0,3.0,2.0,4.0,2.0,2.0,4.0,coffee,1.0,coffee,1.0,,,2018-11-09,1.0,2018-11-10 10:39,2.0,4.0,2.0,3.0,2.0,2018-11-10,2018-11-10 4:04,2018-11-10 9:54,Fitbit,84.5597105,21030,24870,,,,,,
9,0,8,2018-11-10 22:37,4.0,4.0,2.0,2.0,2.0,3.0,4.0,coffee,1.0,,,,,2018-11-10,1.0,2018-11-11 9:37,1.0,4.0,2.0,3.0,,2018-11-11,2018-11-11 1:29,2018-11-11 8:41,Fitbit,89.5652174,24720,27600,,,,,,
10,0,8,2018-11-11 21:12,4.0,3.0,2.0,2.0,3.0,3.0,4.0,,,coffee,2.0,,,2018-11-11,3.0,2018-11-12 21:51,2.0,3.0,3.0,3.0,,2018-11-12,2018-11-11 23:33,2018-11-12 8:06,Fitbit,92.1568627,29610,32130,,,,,,
0,0,9,2018-11-01 21:02,3.0,4.0,1.0,2.0,3.0,3.0,4.0,coffee,2.0,tea,1.0,beer,2.0,2018-11-01,2.0,2018-11-02 8:11,9.0,4.0,2.0,2.0,3.0,2018-11-02,2018-11-01 22:49,2018-11-02 6:49,Fitbit,89.8063201,26430,29430,,,,,,
1,0,9,2018-11-02 20:30,3.0,4.0,2.0,2.0,3.0,3.0,4.0,coffee,2.0,coffee,1.0,,,2018-11-02,3.0,2018-11-03 7:48,4.0,4.0,2.0,3.0,3.0,2018-11-03,2018-11-03 0:09,2018-11-03 6:57,Fitbit,91.8528252,20970,22830,,,,,,
2,0,9,2018-11-03 21:22,4.0,4.0,2.0,1.0,2.0,3.0,3.0,coffee,1.0,,,beer,3.0,2018-11-03,2.0,2018-11-04 7:51,4.0,4.0,2.0,3.0,,2018-11-04,2018-11-04 1:02,2018-11-04 7:01,Fitbit,95.0704225,20250,21300,,,,,,
3,0,9,2018-11-04 22:07,2.0,4.0,2.0,3.0,3.0,3.0,,coffee,1.0,,,,,2018-11-04,4.0,2018-11-05 8:27,3.0,4.0,3.0,3.0,,2018-11-05,2018-11-04 23:03,2018-11-05 6:57,Fitbit,86.8173258,27660,31860,,,,,,
4,0,9,2018-11-05 21:42,3.0,1.0,1.0,2.0,3.0,4.0,2.0,coffee,1.0,coffee,2.0,,,2018-11-05,3.0,2018-11-06 7:32,0.0,4.0,3.0,3.0,3.0,2018-11-06,2018-11-05 23:02,2018-11-06 6:12,Fitbit,87.1212121,20700,23760,,,,,,
5,0,9,2018-11-06 20:59,3.0,2.0,2.0,2.0,2.0,2.0,,coffee,2.0,coffee,2.0,,,2018-11-06,3.0,2018-11-07 8:00,0.0,4.0,2.0,3.0,4.0,2018-11-07,2018-11-06 23:42,2018-11-07 6:59,Fitbit,88.0846325,23730,26940,,,,,,
6,0,9,2018-11-07 22:09,4.0,4.0,2.0,3.0,3.0,3.0,,coffee,1.0,coffee,2.0,,,2018-11-07,3.0,2018-11-08 8:19,3.0,4.0,3.0,3.0,3.0,2018-11-08,2018-11-07 22:43,2018-11-08 6:52,Fitbit,91.4587332,28590,31260,,,,,,
7,0,9,2018-11-08 21:23,4.0,4.0,2.0,3.0,3.0,3.0,,coffee,2.0,coffee,2.0,,,2018-11-08,3.0,2018-11-09 8:59,0.0,4.0,3.0,3.0,4.0,2018-11-09,2018-11-08 23:05,2018-11-09 6:27,Fitbit,90.5125409,24900,27510,,,,,,
8,0,9,2018-11-09 23:28,4.0,4.0,2.0,3.0,3.0,3.0,,coffee,1.0,coffee,2.0,beer,2.0,2018-11-09,3.0,2018-11-10 9:10,0.0,4.0,2.0,3.0,3.0,2018-11-10,2018-11-10 0:58,2018-11-10 8:38,Fitbit,89.6626768,24720,27570,,,,,,
9,0,9,2018-11-10 22:07,4.0,4.0,2.0,3.0,3.0,3.0,,,,coffee,2.0,beer,3.0,2018-11-10,4.0,2018-11-11 9:36,4.0,4.0,3.0,3.0,,2018-11-11,2018-11-10 22:43,2018-11-11 9:10,Fitbit,90.0703675,34560,38370,,,,,,
10,0,9,2018-11-11 23:28,4.0,4.0,2.0,3.0,3.0,3.0,,coffee,2.0,,,,,2018-11-11,3.0,2018-11-12 7:39,0.0,2.0,3.0,3.0,,2018-11-12,2018-11-11 23:41,2018-11-12 6:40,Fitbit,87.5699888,23460,26790,,,,,,
11,0,9,2018-11-12 22:15,3.0,3.0,2.0,3.0,3.0,3.0,3.0,coffee,1.0,coffee,2.0,beer,1.0,2018-11-12,2.0,2018-11-13 8:17,0.0,4.0,2.0,3.0,3.0,2018-11-13,2018-11-13 0:43,2018-11-13 6:54,Fitbit,89.3243243,19830,22200,,,,,,
0,0,10,2018-11-03 12:19,3.0,3.0,2.0,2.0,2.0,2.0,2.0,,,,,,,2018-11-03,4.0,2018-11-04 12:41,9.0,4.0,4.0,3.0,,2018-11-04,2018-11-04 23:39,2018-11-04 23:42,Fitbit,89.6629213,23940,26700,,,,,,
1,0,10,2018-11-05 22:37,3.0,2.0,2.0,2.0,2.0,2.0,2.0,coffee,2.0,,,,,2018-11-05,1.0,2018-11-06 8:43,0.0,2.0,3.0,3.0,,2018-11-06,2018-11-06 0:21,2018-11-06 7:17,Fitbit,88.556701,25770,29100,,,,,,
2,0,10,2018-11-06 21:42,3.0,3.0,2.0,2.0,2.0,2.0,,coffee,1.0,,,,,2018-11-06,1.0,2018-11-07 8:42,2.0,2.0,2.0,1.0,,2018-11-07,2018-11-07 0:02,2018-11-07 7:26,Fitbit,86.5714286,18180,21000,,,,,,
0,0,11,2018-11-01 21:50,4.0,2.0,2.0,4.0,4.0,3.0,4.0,coffee,1.0,,,,,2018-11-01,4.0,2018-11-02 11:30,1.0,4.0,2.0,2.0,,2018-11-02,2018-11-02 3:02,2018-11-02 10:49,Fitbit,88.368984,19830,22440,,,,,,
1,0,11,2018-11-02 23:34,3.0,2.0,2.0,4.0,3.0,3.0,3.0,,,,,,,2018-11-02,4.0,2018-11-03 13:25,1.0,2.0,3.0,3.0,,2018-11-03,2018-11-03 5:06,2018-11-03 10:52,Fitbit,83.5543767,18900,22620,,,,,,
2,0,11,2018-11-03 23:55,3.0,1.0,2.0,4.0,3.0,3.0,4.0,,,coffee,1.0,,,2018-11-03,2.0,2018-11-04 18:11,1.0,2.0,1.0,2.0,,2018-11-04,2018-11-04 6:21,2018-11-04 12:27,Fitbit,87.8378378,3900,4440,,,,,,
3,0,11,2018-11-04 23:50,2.0,2.0,2.0,4.0,3.0,3.0,4.0,,,,,,,2018-11-04,1.0,2018-11-05 9:18,0.0,4.0,1.0,1.0,,2018-11-05,2018-11-05 13:20,2018-11-05 14:01,Fitbit,91.2230216,19020,20850,,,,,,
4,0,11,2018-11-06 23:28,3.0,2.0,2.0,4.0,4.0,3.0,4.0,,,coffee,1.0,,,2018-11-06,2.0,2018-11-07 13:32,0.0,4.0,2.0,3.0,,2018-11-07,2018-11-07 7:22,2018-11-07 12:51,Fitbit,88.3239171,28140,31860,,,,,,
5,0,11,2018-11-09 23:23,3.0,2.0,1.0,4.0,3.0,3.0,4.0,,,,,,,2018-11-09,4.0,2018-11-10 18:35,0.0,2.0,2.0,4.0,,2018-11-10,2018-11-10 1:32,2018-11-10 10:25,Fitbit,86.0830527,23010,26730,,,,,,
6,0,11,2018-11-10 23:26,3.0,3.0,1.0,4.0,4.0,3.0,4.0,,,,,,,2018-11-10,4.0,2018-11-11 15:36,0.0,4.0,3.0,3.0,,2018-11-11,2018-11-11 6:45,2018-11-11 13:42,Fitbit,84.6619576,25170,29730,,,,,,
7,0,11,2018-11-11 23:42,3.0,3.0,2.0,4.0,4.0,3.0,4.0,,,,,,,2018-11-11,4.0,2018-11-12 16:05,0.0,4.0,3.0,3.0,,2018-11-12,2018-11-12 6:07,2018-11-12 13:59,Fitbit,89.5914397,27630,30840,,,,,,
